"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," All types","3.34","3.15","3.12","3.27","3.20","3.13","3.13","3.09","2.54","3.54"
"Democratic People's Republic of Korea"," Data source"," Beer","0.15","0.14","0.18","0.19","0.19","0.19","0.21","0.20","0.20","0.23"
"Democratic People's Republic of Korea"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," Spirits","3.19","3.01","2.94","3.08","3.01","2.94","2.92","2.89","2.34","3.31"
"Democratic People's Republic of Korea"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Democratic Republic of the Congo"," Data source"," All types","1.01","1.13","0.87","0.44","0.37","0.34","0.48","0.52","0.47","0.55"
"Democratic Republic of the Congo"," Data source"," Beer","0.55","0.53","0.48","0.41","0.34","0.32","0.27","0.27","0.26","0.29"
"Democratic Republic of the Congo"," Data source"," Wine","0.06","0.02","0.02","0.02","0.01","0.01","0.01","0.00","0.00","0.00"
"Democratic Republic of the Congo"," Data source"," Spirits","0.02","0.08","0.03","0.02","0.02","0.01","0.01","0.01","0.02","0.01"
"Democratic Republic of the Congo"," Data source"," Other alcoholic beverages","0.38","0.49","0.34","0.00","0.00","0.00","0.19","0.24","0.19","0.25"
"Denmark"," Data source"," All types","10.08","10.70","10.99","11.02","11.26","11.26","11.53","11.32","11.54","11.68"
"Denmark"," Data source"," Beer","4.13","4.51","4.76","4.92","5.05","5.10","5.47","5.47","5.56","5.75"
"Denmark"," Data source"," Wine","4.38","4.47","4.41","4.34","4.44","4.32","4.47","4.43","4.59","4.52"
"Denmark"," Data source"," Spirits","1.52","1.66","1.74","1.69","1.78","1.85","1.60","1.42","1.39","1.41"
"Denmark"," Data source"," Other alcoholic beverages","0.05","0.06","0.07","0.07","0","0","0","0","0","0"
"Djibouti"," Data source"," All types","0.47","0.49","0.45","1.03","1.22","0.51","0.52","1.11","1.33","1.24"
"Djibouti"," Data source"," Beer","0.23","0.24","0.19","0.23","0.23","0.23","0.23","0.23","0.23","0.23"
"Djibouti"," Data source"," Wine","0.03","0.04","0.04","0.03","0.05","0.04","0.04","0.04","0.04","0.04"
"Djibouti"," Data source"," Spirits","0.21","0.21","0.22","0.75","0.94","0.23","0.24","0.84","1.05","0.97"
"Djibouti"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominica"," Data source"," All types","8.63","9.48","8.89","9.06","8.90","8.92","8.02","8.69","8.54","8.74"
"Dominica"," Data source"," Beer","1.99","1.90","1.92","1.76","1.74","1.60","1.63","1.59","1.50","1.55"
"Dominica"," Data source"," Wine","0.24","0.18","0.42","0.18","0.41","0.27","0.19","0.39","0.18","0.18"
"Dominica"," Data source"," Spirits","6.35","7.38","6.53","7.09","6.69","7.03","6.19","6.64","6.82","6.94"
"Dominica"," Data source"," Other alcoholic beverages","0.05","0.03","0.02","0.03","0.07","0.02","0.01","0.06","0.04","0.07"
"Dominican Republic"," Data source"," All types","5.63","5.91","5.92","5.84","5.75","5.31","6.53","6.65","6.36","6.72"
"Dominican Republic"," Data source"," Beer","2.69","2.73","2.65","2.84","2.60","2.06","2.65","2.72","2.41","2.66"
"Dominican Republic"," Data source"," Wine","0.19","0.21","0.21","0.23","0.25","0.26","0.28","0.28","0.29","0.26"
"Dominican Republic"," Data source"," Spirits","2.68","2.91","3.00","2.70","2.85","2.98","3.59","3.64","3.65","3.78"
"Dominican Republic"," Data source"," Other alcoholic beverages","0.07","0.06","0.05","0.06","0.05","0.00","0.00","0.00","0.00","0.00"
"Ecuador"," Data source"," All types","4.20","4.12","3.99","3.88","3.90","4.09","4.04","3.98","4.19","4.01"
"Ecuador"," Data source"," Beer","2.62","2.40","2.17","2.10","1.92","1.82","1.76","1.64","1.50","1.34"
"Ecuador"," Data source"," Wine","0.37","0.39","0.41","0.40","0.39","0.49","0.40","0.15","0.12","0.07"
"Ecuador"," Data source"," Spirits","1.19","1.32","1.40","1.37","1.58","1.77","1.89","2.19","2.57","2.59"
"Ecuador"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Egypt"," Data source"," All types","0.19","0.21","0.19","0.17","0.15","0.14","0.14","0.14","0.13","0.14"
"Egypt"," Data source"," Beer","0.11","0.11","0.11","0.10","0.08","0.08","0.07","0.07","0.06","0.06"
"Egypt"," Data source"," Wine","0.02","0.04","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Egypt"," Data source"," Spirits","0.05","0.06","0.05","0.05","0.05","0.05","0.06","0.06","0.06","0.07"
"Egypt"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"El Salvador"," Data source"," All types","2.48","2.59","2.73","2.67","2.68","2.78","2.91","2.85","2.76","2.65"
"El Salvador"," Data source"," Beer","0.91","0.95","1.00","0.97","0.91","1.03","1.02","1.03","1.01","0.99"
"El Salvador"," Data source"," Wine","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03"
"El Salvador"," Data source"," Spirits","1.52","1.59","1.69","1.66","1.73","1.72","1.87","1.79","1.73","1.64"
"El Salvador"," Data source"," Other alcoholic beverages","0.00","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Equatorial Guinea"," Data source"," All types","7.20","7.71","8.31","8.70","7.82","8.11","7.87","7.12","6.79","6.70"
"Equatorial Guinea"," Data source"," Beer","3.05","3.01","2.45","2.63","2.46","1.98","1.73","0.99","0.66","0.56"
"Equatorial Guinea"," Data source"," Wine","2.65","3.09","2.73","3.09","2.86","3.82","3.82","3.82","3.82","3.82"
"Equatorial Guinea"," Data source"," Spirits","1.45","1.57","3.07","2.85","2.39","2.18","2.18","2.18","2.18","2.18"
"Equatorial Guinea"," Data source"," Other alcoholic beverages","0.05","0.05","0.05","0.13","0.12","0.14","0.14","0.14","0.14","0.14"
"Eritrea"," Data source"," All types","0.85","0.66","1.75","1.29","1.18","0.72","0.62","0.89","0.67","0.88"
"Eritrea"," Data source"," Beer","0.51","0.41","0.46","0.60","0.72","0.61","0.46","0.49","0.51","0.53"
"Eritrea"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Eritrea"," Data source"," Spirits","0.00","0.00","0.00","0.00","0.02","0.02","0.02","0.02","0.03","0.01"
"Eritrea"," Data source"," Other alcoholic beverages","0.34","0.25","1.29","0.69","0.44","0.09","0.14","0.38","0.13","0.34"
"Estonia"," Data source"," All types","14.66","16.61","17.47","17.87","16.58","15.52","11.64","12.16","10.10","9.03"
"Estonia"," Data source"," Beer","5.07","5.37","5.85","6.50","6.48","6.04","4.75","4.99","4.62","4.19"
"Estonia"," Data source"," Wine","1.38","1.52","1.26","1.44","1.50","1.47","0.82","0.80","0.98","1.05"
"Estonia"," Data source"," Spirits","6.52","7.69","8.36","7.87","6.62","6.13","4.81","5.05","3.92","3.22"
"Estonia"," Data source"," Other alcoholic beverages","1.68","2.04","2.00","2.06","1.98","1.88","1.26","1.32","0.58","0.57"
"Eswatini"," Data source"," All types","5.65","5.64","6.34","6.26","5.05","5.76","5.62","5.51","6.70","6.80"
"Eswatini"," Data source"," Beer","1.52","1.45","1.55","1.62","1.70","1.63","1.64","1.57","1.55","1.78"
"Eswatini"," Data source"," Wine","0.04","0.02","0.04","0.01","0.02","0.02","0.05","0.16","0.26","0.26"
"Eswatini"," Data source"," Spirits","0.03","0.02","0.41","0.50","0.15","0.89","0.42","0.03","0.46","0.08"
"Eswatini"," Data source"," Other alcoholic beverages","4.05","4.15","4.34","4.14","3.19","3.22","3.52","3.74","4.43","4.68"
"Ethiopia"," Data source"," All types","0.32","0.32","0.31","0.29","0.21","0.21","0.14","0.16","0.20","0.19"
"Ethiopia"," Data source"," Beer","0.28","0.29","0.29","0.28","0.21","0.20","0.14","0.16","0.20","0.18"
"Ethiopia"," Data source"," Wine","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ethiopia"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Ethiopia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Fiji"," Data source"," All types","2.32","1.96","2.10","2.07","2.03","2.05","2.07","2.27","2.35","2.46"
"Fiji"," Data source"," Beer","1.35","1.36","1.37","1.38","1.42","1.44","1.46","1.67","1.66","1.76"
"Fiji"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.11","0.11"
"Fiji"," Data source"," Spirits","0.95","0.58","0.72","0.67","0.58","0.58","0.58","0.58","0.58","0.58"
"Fiji"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Finland"," Data source"," All types","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.88"
"Finland"," Data source"," Beer","4.54","4.62","4.70","4.57","4.59","4.57","4.37","4.43","4.37","4.27"
"Finland"," Data source"," Wine","1.85","1.85","1.82","1.55","1.47","1.42","1.43","1.31","1.19","1.07"
"Finland"," Data source"," Spirits","1.62","1.75","1.87","2.86","2.82","2.79","2.38","2.37","2.32","2.33"
"Finland"," Data source"," Other alcoholic beverages","1.95","2.04","2.06","1.17","1.08","1.11","1.13","1.14","1.06","1.21"
"France"," Data source"," All types","12.66","12.53","12.95","13.05","12.88","13.14","13.45","13.92","14.15","13.92"
"France"," Data source"," Beer","2.25","2.18","2.33","2.40","2.31","2.24","2.29","2.25","2.36","2.31"
"France"," Data source"," Wine","7.41","7.33","7.60","7.75","7.65","7.94","8.17","8.52","8.62","8.54"
"France"," Data source"," Spirits","2.70","2.72","2.72","2.70","2.62","2.67","2.65","2.74","2.76","2.66"
"France"," Data source"," Other alcoholic beverages","0.30","0.30","0.30","0.20","0.30","0.29","0.34","0.41","0.41","0.41"
"Gabon"," Data source"," All types","8.12","8.31","8.65","7.77","7.56","8.02","6.41","8.29","9.27","8.89"
"Gabon"," Data source"," Beer","5.69","5.91","5.56","5.36","5.20","4.78","4.80","5.32","6.03","5.87"
"Gabon"," Data source"," Wine","0.92","0.92","1.14","0.96","0.84","0.99","0.84","1.27","1.55","1.55"
"Gabon"," Data source"," Spirits","1.47","1.45","1.91","1.41","1.47","2.19","0.77","1.70","1.69","1.47"
"Gabon"," Data source"," Other alcoholic beverages","0.05","0.04","0.04","0.04","0.04","0.05","0","0","0","0"
"Gambia"," Data source"," All types","3.05","2.98","3.19","3.25","3.31","3.56","3.63","3.37","3.28","3.16"
"Gambia"," Data source"," Beer","0.17","0.18","0.24","0.24","0.23","0.25","0.23","0.20","0.19","0.20"
"Gambia"," Data source"," Wine","0.03","0.04","0.05","0.03","0.05","0.05","0.04","0.05","0.02","0.02"
"Gambia"," Data source"," Spirits","0.01","0.01","0.05","0.04","0","0","0","0","0","0"
"Gambia"," Data source"," Other alcoholic beverages","2.84","2.76","2.85","2.94","3.03","3.26","3.37","3.12","3.07","2.93"
"Georgia"," Data source"," All types","6.26","7.27","6.89","5.69","4.36","2.89","2.79","2.74","2.77","3.29"
"Georgia"," Data source"," Beer","0.90","1.19","1.09","0.88","0.79","0.60","0.56","0.51","0.46","0.41"
"Georgia"," Data source"," Wine","3.28","3.98","3.70","2.86","1.64","1.03","1.02","1.12","1.24","1.56"
"Georgia"," Data source"," Spirits","2.07","2.09","2.09","1.96","1.93","1.26","1.21","1.11","1.08","1.32"
"Georgia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Germany"," Data source"," All types","11.23","11.37","11.51","11.76","11.68","11.83","11.92","12.25","12.46","12.91"
"Germany"," Data source"," Beer","6.34","6.35","6.48","6.73","6.62","6.29","6.43","6.67","6.71","7.16"
"Germany"," Data source"," Wine","3.11","3.24","3.24","3.13","3.13","3.06","3.14","3.14","3.21","3.18"
"Germany"," Data source"," Spirits","2.15","2.16","2.16","2.28","2.29","2.48","2.35","2.44","2.54","2.57"
"Germany"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Ghana"," Data source"," All types","1.26","1.26","0.67","0.65","0.56","0.55","1.91","1.95","1.85","1.95"
"Ghana"," Data source"," Beer","0.47","0.49","0.48","0.49","0.43","0.42","0.40","0.41","0.34","0.41"
"Ghana"," Data source"," Wine","0.12","0.15","0.14","0.11","0.08","0.08","0.07","0.05","0.04","0.04"
"Ghana"," Data source"," Spirits","0.04","0.04","0.05","0.05","0.05","0.04","0.07","0.21","0.18","0.11"
"Ghana"," Data source"," Other alcoholic beverages","0.63","0.58","0.00","0.00","0.00","0.00","1.38","1.29","1.30","1.39"
"Greece"," Data source"," All types","8.32","8.73","8.89","8.68","9.15","9.10","8.91","8.22","8.75","8.60"
"Greece"," Data source"," Beer","2.23","2.36","2.34","2.23","2.18","2.19","2.22","2.35","2.33","2.38"
"Greece"," Data source"," Wine","3.81","4.03","4.17","4.06","4.56","4.21","3.93","3.16","3.79","3.69"
"Greece"," Data source"," Spirits","2.13","2.18","2.22","2.23","2.23","2.53","2.59","2.53","2.46","2.35"
"Greece"," Data source"," Other alcoholic beverages","0.15","0.16","0.15","0.16","0.18","0.18","0.18","0.18","0.18","0.18"
"Grenada"," Data source"," All types","8.55","9.04","9.14","9.26","8.85","8.68","9.89","10.99","9.77","9.21"
"Grenada"," Data source"," Beer","3.54","3.86","4.00","4.15","3.87","3.62","3.74","3.47","3.53","3.50"
"Grenada"," Data source"," Wine","0.61","0.61","0.56","0.53","0.45","0.44","0.42","0.44","0.38","0.43"
"Grenada"," Data source"," Spirits","4.12","4.26","4.34","4.39","4.36","4.38","5.61","6.93","5.72","5.15"
"Grenada"," Data source"," Other alcoholic beverages","0.27","0.31","0.24","0.20","0.17","0.24","0.13","0.15","0.13","0.13"
"Guatemala"," Data source"," All types","2.03","2.10","2.36","2.36","2.34","2.38","2.34","2.30","2.41","2.52"
"Guatemala"," Data source"," Beer","0.81","0.89","1.05","1.07","1.07","1.12","1.06","0.95","1.01","1.06"
"Guatemala"," Data source"," Wine","0.03","0.03","0.11","0.12","0.13","0.12","0.03","0.03","0.03","0.03"
"Guatemala"," Data source"," Spirits","1.19","1.17","1.20","1.16","1.14","1.13","1.25","1.32","1.37","1.43"
"Guatemala"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Guinea"," Data source"," All types","0.19","0.21","0.19","0.15","0.20","0.34","0.18","0.21","0.17","0.18"
"Guinea"," Data source"," Beer","0.16","0.17","0.15","0.12","0.16","0.16","0.16","0.17","0.15","0.15"
"Guinea"," Data source"," Wine","0.02","0.03","0.02","0.01","0.02","0.02","0.02","0.04","0.02","0.02"
"Guinea"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.03","0.16","0","0","0.01","0.01"
"Guinea"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"Guinea-Bissau"," Data source"," All types","2.89","3.01","3.22","3.48","3.69","3.56","3.07","2.60","2.75","3.02"
"Guinea-Bissau"," Data source"," Beer","0.48","0.32","0.39","0.40","0.39","0.46","0.41","0.35","0.36","0.44"
"Guinea-Bissau"," Data source"," Wine","0.54","0.54","0.60","0.42","0.61","0.52","0.55","0.65","0.46","0.46"
"Guinea-Bissau"," Data source"," Spirits","0.55","0.56","0.53","0.54","0.51","0.53","0.54","0.56","0.57","0.59"
"Guinea-Bissau"," Data source"," Other alcoholic beverages","1.32","1.59","1.70","2.12","2.18","2.05","1.56","1.05","1.36","1.54"
"Guyana"," Data source"," All types","5.87","5.83","5.73","5.68","5.84","8.65","8.75","8.47","7.36","6.82"
"Guyana"," Data source"," Beer","2.18","2.06","2.01","1.94","1.78","1.79","1.86","2.14","2.02","1.59"
"Guyana"," Data source"," Wine","0.30","0.37","0.31","0.32","0.31","0.31","0.29","0.22","0.18","0.16"
"Guyana"," Data source"," Spirits","3.37","3.37","3.39","3.39","3.71","6.52","6.57","6.09","5.13","5.04"
"Guyana"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Haiti"," Data source"," All types","3.53","3.49","3.44","3.51","3.49","3.58","3.56","3.65","3.62","3.63"
"Haiti"," Data source"," Beer","0.12","0.11","0.13","0.12","0.10","0.10","0.12","0.13","0.14","0.14"
"Haiti"," Data source"," Wine","0.06","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.04"
"Haiti"," Data source"," Spirits","3.34","3.32","3.26","3.34","3.34","3.43","3.40","3.48","3.44","3.45"
"Haiti"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Honduras"," Data source"," All types","2.76","2.85","2.94","3.03","3.02","2.83","2.87","2.92","2.61","2.47"
"Honduras"," Data source"," Beer","1.13","1.16","1.18","1.19","1.19","1.20","1.30","1.33","1.27","1.28"
"Honduras"," Data source"," Wine","0.02","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Honduras"," Data source"," Spirits","1.61","1.66","1.73","1.80","1.80","1.62","1.54","1.57","1.33","1.18"
"Honduras"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Hungary"," Data source"," All types","11.52","11.75","12.54","13.25","12.95","13.28","13.24","13.28","13.18","12.23"
"Hungary"," Data source"," Beer","4.27","4.30","4.59","4.39","4.30","4.34","4.47","4.34","4.25","4.30"
"Hungary"," Data source"," Wine","3.19","3.27","3.87","4.54","4.51","4.66","4.60","4.88","4.86","4.08"
"Hungary"," Data source"," Spirits","4.06","4.18","4.07","4.32","4.14","4.27","4.17","4.06","4.07","3.85"
"Hungary"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Iceland"," Data source"," All types","7.24","7.19","7.53","7.20","7.05","6.71","6.52","6.53","6.32","6.14"
"Iceland"," Data source"," Beer","3.83","3.55","3.95","3.78","3.67","3.49","3.34","3.29","3.11","3.04"
"Iceland"," Data source"," Wine","1.94","2.12","2.04","1.97","1.95","1.83","1.71","1.59","1.48","1.34"
"Iceland"," Data source"," Spirits","1.47","1.52","1.54","1.45","1.43","1.39","1.47","1.65","1.73","1.76"
"Iceland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"India"," Data source"," All types","2.46","1.92","1.57","1.35","1.25","1.18","1.17","1.08","0.98","0.93"
"India"," Data source"," Beer","0.15","0.13","0.12","0.11","0.09","0.08","0.08","0.07","0.07","0.07"
"India"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"India"," Data source"," Spirits","2.32","1.78","1.44","1.24","1.16","1.10","1.10","1.00","0.92","0.86"
"India"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia"," Data source"," All types","0.07","0.07","0.06","0.06","0.06","0.05","0.05","0.05","0.06","0.06"
"Indonesia"," Data source"," Beer","0.06","0.06","0.06","0.06","0.05","0.05","0.05","0.05","0.06","0.06"
"Indonesia"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia"," Data source"," Spirits","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iran (Islamic Republic of)"," Data source"," All types","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Iran (Islamic Republic of)"," Data source"," Beer","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Wine","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Spirits","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Iran (Islamic Republic of)"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq"," Data source"," All types","0.20","0.17","0.15","0.03","0.18","0.33","0.08","0.17","0.19","0.22"
"Iraq"," Data source"," Beer","0.16","0.13","0.11","0.00","0.15","0.31","0.06","0.14","0.16","0.20"
"Iraq"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq"," Data source"," Spirits","0.04","0.04","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02"
"Iraq"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Ireland"," Data source"," All types","10.93","12.18","13.17","13.12","13.06","13.11","13.04","13.95","14.04","13.84"
"Ireland"," Data source"," Beer","5.59","6.07","6.53","6.70","6.86","6.99","7.20","7.55","7.75","7.88"
"Ireland"," Data source"," Wine","2.47","2.70","2.84","2.70","2.58","2.53","2.26","2.14","1.93","1.76"
"Ireland"," Data source"," Spirits","1.93","2.40","2.64","2.52","2.45","2.44","2.43","3.10","3.01","2.97"
"Ireland"," Data source"," Other alcoholic beverages","0.94","1.01","1.16","1.19","1.17","1.15","1.15","1.16","1.34","1.23"
"Israel"," Data source"," All types","2.67","2.59","2.46","2.30","2.46","2.44","2.58","2.79","2.83","2.58"
"Israel"," Data source"," Beer","1.21","1.19","1.14","0.90","0.99","0.87","1.01","1.19","1.30","1.12"
"Israel"," Data source"," Wine","0.13","0.16","0.12","0.13","0.16","0.17","0.16","0.23","0.19","0.25"
"Israel"," Data source"," Spirits","1.27","1.19","1.15","1.21","1.27","1.34","1.36","1.32","1.29","1.16"
"Israel"," Data source"," Other alcoholic beverages","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"Italy"," Data source"," All types","7.25","7.96","8.37","8.44","8.65","8.98","9.30","9.25","9.68","9.78"
"Italy"," Data source"," Beer","1.63","1.71","1.81","1.76","1.73","1.72","1.75","1.64","1.68","1.64"
"Italy"," Data source"," Wine","4.79","5.42","5.72","5.70","5.85","6.19","6.47","6.54","6.93","7.06"
"Italy"," Data source"," Spirits","0.84","0.84","0.84","0.98","1.07","1.07","1.07","1.07","1.07","1.07"
"Italy"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Jamaica"," Data source"," All types","3.24","3.35","3.31","3.35","3.36","3.32","3.43","3.61","3.72","3.77"
"Jamaica"," Data source"," Beer","1.03","1.19","1.13","1.09","1.12","1.13","1.14","1.26","1.32","1.58"
"Jamaica"," Data source"," Wine","0.62","0.64","0.59","0.57","0.48","0.43","0.36","0.35","0.35","0.37"
"Jamaica"," Data source"," Spirits","1.45","1.36","1.44","1.54","1.60","1.59","1.77","1.83","1.89","1.65"
"Jamaica"," Data source"," Other alcoholic beverages","0.14","0.15","0.15","0.16","0.17","0.17","0.17","0.17","0.17","0.17"
"Japan"," Data source"," All types","6.98","7.06","7.28","7.48","7.98","7.69","7.82","7.86","8.01","7.96"
"Japan"," Data source"," Beer","1.38","1.47","1.63","1.66","1.72","1.74","1.81","1.97","2.21","2.50"
"Japan"," Data source"," Wine","0.25","0.25","0.24","0.26","0.29","0.31","0.27","0.28","0.28","0.29"
"Japan"," Data source"," Spirits","2.64","2.62","2.62","3.37","3.36","3.41","3.33","3.14","3.05","2.94"
"Japan"," Data source"," Other alcoholic beverages","2.70","2.72","2.79","2.18","2.61","2.22","2.41","2.47","2.48","2.23"
"Jordan"," Data source"," All types","0.56","0.58","0.56","0.55","0.51","0.50","0.50","0.51","0.52","0.47"
"Jordan"," Data source"," Beer","0.17","0.17","0.17","0.16","0.15","0.13","0.12","0.13","0.14","0.06"
"Jordan"," Data source"," Wine","0.02","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Jordan"," Data source"," Spirits","0.35","0.37","0.36","0.35","0.33","0.34","0.36","0.36","0.36","0.38"
"Jordan"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0","0","0","0"
"Kazakhstan"," Data source"," All types","3.16","3.42","3.99","6.76","6.57","6.23","6.22","5.78","5.55","5.81"
"Kazakhstan"," Data source"," Beer","1.47","1.48","1.71","2.14","1.86","1.47","1.33","1.12","0.96","0.82"
"Kazakhstan"," Data source"," Wine","0.08","0.09","0.16","0.25","0.31","0.29","0.38","0.29","0.18","0.35"
"Kazakhstan"," Data source"," Spirits","1.61","1.84","2.11","4.37","4.39","4.47","4.51","4.37","4.42","4.64"
"Kazakhstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Kenya"," Data source"," All types","1.17","1.32","1.20","0.86","0.88","0.69","1.50","1.67","1.64","1.51"
"Kenya"," Data source"," Beer","1.04","1.06","0.95","0.82","0.85","0.65","0.56","0.67","0.68","0.65"
"Kenya"," Data source"," Wine","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.01"
"Kenya"," Data source"," Spirits","0.11","0.24","0.22","0.01","0.01","0.02","0.47","0.53","0.54","0.53"
"Kenya"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.00","0.00","0.00","0.45","0.45","0.40","0.32"
"Kiribati"," Data source"," All types","0.54","0.46","0.55","0.69","0.61","0.49","0.44","0.51","0.71","0.56"
"Kiribati"," Data source"," Beer","0.49","0.44","0.51","0.65","0.56","0.43","0.40","0.45","0.42","0.39"
"Kiribati"," Data source"," Wine","0.00","0.00","0.01","0.00","0.02","0.02","0.02","0.02","0.12","0.12"
"Kiribati"," Data source"," Spirits","0.05","0.02","0.03","0.03","0.02","0.03","0.02","0.04","0.17","0.05"
"Kiribati"," Data source"," Other alcoholic beverages","0","0.00","0.00","0.00","0.01","0.01","0","0","0","0"
"Kuwait"," Data source"," All types","0.10","0.03","0.03","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Kuwait"," Data source"," Beer","0.09","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kuwait"," Data source"," Wine","0.00","0.00","0","0","0.00","0.01","0.00","0.00","0.00","0.00"
"Kuwait"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kuwait"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan"," Data source"," All types","5.98","7.29","6.98","6.78","6.52","6.65","6.35","5.84","5.70","5.33"
"Kyrgyzstan"," Data source"," Beer","0.48","1.00","0.76","0.65","0.65","0.70","0.54","0.36","0.32","0.26"
"Kyrgyzstan"," Data source"," Wine","0.07","0.08","0.08","0.08","0.08","0.10","0.14","0.14","0.14","0.06"
"Kyrgyzstan"," Data source"," Spirits","5.43","6.20","6.13","6.04","5.79","5.86","5.67","5.33","5.23","5.00"
